MEX2: Luis Malagón
CUW20: Sontje Hansen
CIV2: Yahia Fofana
CIV3: Ghislain Konan
CIV4: Wilfried Singo
CIV5: Odilon Kossounou
CIV6: Evan Ndicka
CIV7: Willy Boly
CIV8: Emmanuel Agbadou
CIV9: Ousmane Diomande
CIV10: Franck Kessié
CIV11: Seko Fofana
CIV12: Ibrahim Sangaré
CIV14: Jean-Philippe Gbamin
CIV15: Amad Diallo
CIV16: Sébastien Haller
CIV17: Simon Adingra
CIV18: Yan Diomande
CIV19: Evann Guessand
CIV20: Oumar Diakité
ECU2: Hernán Galíndez
ECU3: Gonzalo Valle
ECU4: Piero Hincapié
ECU5: Pervis Estupiñán
ECU6: Willian Pacho
ECU7: Ángelo Preciado
ECU8: Joel Ordóñez
ECU9: Moisés Caicedo
ECU10: Alan Franco
ECU11: Kendry Páez
ECU12: Pedro Vite
ECU14: John Veboah
ECU15: Leonardo Campana
ECU16: Gonzalo Plata
ECU17: Nilson Angulo
ECU18: Alan Minda
ECU19: Kevin Rodríguez
ECU20: Enner Valencia
NED2: Bart Verbruggen
NED3: Virgil van Dijk
NED4: Micky van de Ven
NED5: Jurriën Timber
NED6: Denzel Dumfries
NED7: Nathan Aké
NED8: Jeremie Frimpong
NED9: Jan Paul van Hecke
NED10: Tijjani Reijnders
NED11: Ryan Gravenberch
NED12: Teun Koopmeiners
NED14: Frenkie de Jong
NED15: Xavi Simons
NED16: Justin Kluivert
NED17: Memphis Depay
NED18: Donyell Malen
NED19: Wout Weghorst
NED20: Cody Gakpo
JPN2: Zion Suzuki
JPN3: Henry Heroki Mochizuki
JPN4: Ayumu Seko
JPN5: Junnosuke Suzuki
JPN6: Shogo Taniguchi
JPN7: Tsuyoshi Watanabe
JPN8: Kaishu Sano
JPN9: Yuki Soma
JPN10: Ao Tanaka
JPN11: Daichi Kamada
JPN12: Takefusa Kubo
JPN14: Ritsu Doan
JPN15: Keito Nakamura
JPN16: Takumi Minamino
JPN17: Shuto Machino
JPN18: Junya Ito
JPN19: Koki Ogawa
JPN20: Ayase Ueda
SWE2: Victor Johansson
SWE3: Isak Hien
SWE4: Gabriel Gudmundsson
SWE5: Emil Holm
SWE6: Victor Nilsson Lindelöf
SWE7: Gustaf Lagerbielke
SWE8: Lucas Bergvall
SWE9: Hugo Larsson
SWE10: Jesper Karlström
SWE11: Yasin Ayari
SWE12: Mattias Svanberg
SWE14: Daniel Svensson
SWE15: Ken Sema
SWE16: Roony Bardghji
SWE17: Dejan Kulusevski
SWE18: Anthony Elanga
SWE19: Alexander Isak
SWE20: Viktor Gyökeres
TUN2: Bechir Ben Said
TUN3: Aymen Dahmen
TUN4: Van Valery
TUN5: Montassar Talbi
TUN6: Yassine Meriah
TUN7: Ali Abdi
TUN8: Dylan Bronn
TUN9: Ellyes Skhiri
TUN10: Aissa Laidouni
TUN11: Ferjani Sassi
TUN12: Mohamed Ali Ben Romdhane
TUN14: Hannibal Mejbri
TUN15: Elias Achouri
TUN16: Elias Saad
TUN17: Hazem Mastouri
TUN18: Ismael Gharbi
TUN19: Sayfallah Ltaief
TUN20: Naim Sliti
BEL2: Thibaut Courtois
BEL3: Arthur Theate
BEL4: Timothy Castagne
BEL5: Zeno Debast
BEL6: Brandon Mechele
BEL7: Maxim De Cuyper
BEL8: Thomas Meunier
BEL9: Youri Tielemans
BEL10: Amadou Onana
BEL11: Nicolas Raskin
BEL12: Alexis Saelemaekers
BEL14: Hans Vanaken
BEL15: Kevin De Bruyne
BEL16: Jérémy Doku
BEL17: Charles De Ketelaere
BEL18: Leandro Trossard
BEL19: Loïs Openda
BEL20: Romelu Lukaku
EGY2: Mohamed El Shenawy
EGY3: Mohamed Hany
EGY4: Mohamed Hamdy
EGY5: Yasser Ibrahim
EGY6: Khaled Sobhi
EGY7: Ramy Rabia
EGY8: Hossam Abdelmaguid
EGY9: Ahmed Fatouh
EGY10: Marwan Attia
EGY11: Zizo
EGY12: Hamdy Fathy
EGY14: Mohamed Lasheen
EGY15: Emam Ashour
EGY16: Osama Faisal
EGY17: Mohamed Salah
EGY18: Mostafa Mohamed
EGY19: Trezeguet
EGY20: Omar Marmoush
IRI2: Alireza Beiranvand
IRI3: Morteza Pouraliganji
IRI4: Ehsan Hajsafi
IRI5: Milad Mohammadi
IRI6: Shoja Khalilzadeh
IRI7: Ramin Rezaeian
IRI8: Hossein Kanaani
IRI9: Sadegh Moharrami
IRI10: Saleh Hardani
IRI11: Saeed Ezatolahi
IRI12: Saman Ghoddos
IRI14: Omid Noorafkan
IRI15: Roozbeh Cheshmi
IRI16: Mohammad Mohebi
IRI17: Sardar Azmoun
IRI18: Mehdi Taremi
IRI19: Alireza Jahanbakhsh
IRI20: Ali Gholizadeh
NZL2: Max Crocombe-Payne
NZL3: Alex Paulsen
NZL4: Michael Boxall
NZL5: Liberato Cacace
NZL6: Tim Payne
NZL7: Tyler Bindon
NZL8: Francis de Vries
NZL9: Finn Surman
NZL10: Joe Bell
NZL11: Sarpreet Singh
NZL12: Ryan Thomas
NZL14: Matthew Garbett
NZL15: Marko Stamenić
NZL16: Ben Old
NZL17: Chris Wood
NZL18: Elijah Just
NZL19: Callum McCowatt
NZL20: Kosta Barbarouses
ESP2: Unai Simón
ESP3: Robin Le Normand
ESP4: Aymeric Laporte
ESP5: Dean Huijsen
ESP6: Pedro Porro
ESP7: Dani Carvajal
ESP8: Marc Cucurella
ESP9: Martín Zubimendi
ESP10: Rodri
ESP11: Pedri
ESP12: Fabián Ruiz
ESP14: Mikel Merino
ESP15: Lamine Yamal
ESP16: Dani Olmo
ESP17: Nico Williams
ESP18: Ferran Torres
ESP19: Álvaro Morata
ESP20: Mikel Oyarzabal
CPV2: Vozinha
CPV3: Logan Costa
CPV4: Pico
CPV5: Diney
CPV6: Steven Moreira
CPV7: Wagner Pina
CPV8: João Paulo
CPV9: Yannick Semedo
CPV10: Kevin Pina
CPV11: Patrick Andrade
CPV12: Jamiro Monteiro
CPV14: Deroy Duarte
CPV15: Garry Rodrigues
CPV16: Jovane Cabral
CPV17: Ryan Mendes
CPV18: Dailon Livramento
CPV19: Willy Semedo
CPV20: Bebé
KSA2: Nawaf Alaqidi
KSA3: Abdulrahman Al-Sanbi
KSA4: Saud Abdulhamid
KSA5: Nawaf Boushal
KSA6: Jihad Thakri
KSA7: Moteb Al-Harbi
KSA8: Hassan Altambakti
KSA9: Musab Aljuwayr
KSA10: Ziyad Aljohani
KSA11: Abdullah Alkhaibari
KSA12: Nasser Aldawsari
KSA14: Saleh Abu Alshamat
KSA15: Marwan Alsahafi
KSA16: Salem Aldawsari
KSA17: Abdulrahman Al-Aboud
KSA18: Feras Albrikan
KSA19: Saleh Alshehri
KSA20: Abdullah Al-Hamdan
URU2: Sergio Rochet
URU3: Santiago Mele
URU4: Ronald Araujo
URU5: José María Giménez
URU6: Sebastian Caceres
URU7: Mathias Olivera
URU8: Guillermo Varela
URU9: Nahitan Nandez
URU10: Federico Valverde
URU11: Giorgian De Arrascaeta
URU12: Rodrigo Bentancur
URU14: Manuel Ugarte
URU15: Nicolás de la Cruz
URU16: Maxi Araujo
URU17: Darwin Núñez
URU18: Federico Viñas
URU19: Rodrigo Aguirre
URU20: Facundo Pellistri
FRA2: Mike Maignan
FRA3: Theo Hernández
FRA4: William Saliba
FRA5: Jules Koundé
FRA6: Ibrahima Konaté
FRA7: Dayot Upamecano
FRA8: Lucas Digne
FRA9: Aurélien Tchouaméni
FRA10: Eduardo Camavinga
FRA11: Manu Koné
FRA12: Adrien Rabiot
FRA14: Michael Olise
FRA15: Ousmane Dembélé
FRA16: Bradley Barcola
FRA17: Désiré Doué
FRA18: Kingsley Coman
FRA19: Hugo Ekitike
FRA20: Kylian Mbappé
SEN2: Eduardo Mendy
SEN3: Yehvann Diouf
SEN4: Moussa Niakhaté
SEN5: Abdoulaye Seck
SEN6: Ismail Jakobs
SEN7: El Hadji Malick Diouf
SEN8: Kalidou Koulibaly
SEN9: Idrissa Gana Gueye
SEN10: Pape Matar Sarr
SEN11: Pape Gueye
SEN12: Habib Diarra
SEN14: Lamine Camara
SEN15: Sadio Mane
SEN16: Ismaïla Sarr
SEN17: Boulaye Dia
SEN18: Iliman Ndiaye
SEN19: Nicolas Jackson
SEN20: Krepin Diatta
IRQ2: Jalal Hassan
IRQ3: Rebin Sulaka
IRQ4: Hussein Ali
IRQ5: Akam Hashem
IRQ6: Merchas Doski
IRQ7: Zaid Tahseen
IRQ8: Manaf Younis
IRQ9: Zidane Iqbal
IRQ10: Amir Al-Ammari
IRQ11: Ibrahim Bayesh
IRQ12: Ali Jasim
IRQ14: Youssef Amyn
IRQ15: Aimar Sher
IRQ16: Marko Farji
IRQ17: Osama Rashid
IRQ18: Ali Al-Hamadi
IRQ19: Aymen Hussein
IRQ20: Mohanad Ali
NOR2: Ørjan Nyland
NOR3: Julian Ryerson
NOR4: Leo Østigård
